job_title,salary
Solutions Architect,320948.72 to 324974.36
Solutions Architect,188102.56 to 192128.21
Data Integrity Analyst,143820.51 to 147846.15
Data Integrity Analyst,115641.03 to 119666.67
Executive,357179.49 to 361205.13
Executive,248487.18 to 252512.82
Business Intelligence Developer,123692.31 to 127717.95
Business Intelligence Developer,71358.97 to 75384.62
Data Analyst,172000.0 to 176025.64
Data Engineer,143820.51 to 147846.15
Data Engineer,276666.67 to 280692.31
Data Engineer,188102.56 to 192128.21
Developer,123692.31 to 127717.95
Product Owner,111615.38 to 115641.03
Product Owner,83435.9 to 87461.54
Product Analyst,119666.67 to 123692.31
Product Analyst,87461.54 to 91487.18
Consultant,139794.87 to 143820.51
Consultant,59282.05 to 63307.69
Quantitative Analyst,180051.28 to 184076.92
Quantitative Analyst,143820.51 to 147846.15
Full Stack Engineer,127717.95 to 131743.59
Full Stack Engineer,83435.9 to 87461.54
Developer,147846.15 to 151871.79
Software Developer,163948.72 to 167974.36
Associate,180051.28 to 184076.92
Associate,292769.23 to 296794.87
Associate,143820.51 to 147846.15
Data Engineer,232384.62 to 236410.26
Associate,87461.54 to 91487.18
Engineer,83435.9 to 87461.54
Data Analyst,151871.79 to 155897.44
Data Scientist,59282.05 to 63307.69
Data Integrator,167974.36 to 172000.0
Data Integrator,75384.62 to 79410.26
Business Intelligence Analyst,123692.31 to 127717.95
Business Intelligence Analyst,91487.18 to 95512.82
