job_xp,salary
Research Scientist (SE),305374.3 to 315010.23
Product Manager (SE),305374.3 to 315010.23
Software Engineer (MI),305374.3 to 315010.23
Manager (MI),305374.3 to 315010.23
Software Engineer (SE),305374.3 to 315010.23
AI Architect (SE),305374.3 to 315010.23
Research Engineer (MI),305374.3 to 315010.23
Data Engineer (SE),305374.3 to 315010.23
Systems Engineer (MI),305374.3 to 315010.23
Research Engineer (SE),305374.3 to 315010.23
Engineer (SE),305374.3 to 315010.23
Systems Engineer (SE),305374.3 to 315010.23
Data Scientist (SE),305374.3 to 315010.23
Data Governance (EX),305374.3 to 315010.23
MLOps Engineer (SE),305374.3 to 315010.23
Solutions Architect (SE),305374.3 to 315010.23
Full Stack Engineer (SE),305374.3 to 315010.23
Member of Technical Staff (SE),305374.3 to 315010.23
Architect (SE),305374.3 to 315010.23
Principal Researcher (SE),305374.3 to 315010.23
Manager (SE),305374.3 to 315010.23
Data Architect (SE),305374.3 to 315010.23
Engineering Manager (SE),305374.3 to 315010.23
AI Engineer (SE),305374.3 to 315010.23
Site Reliability Engineer (SE),305374.3 to 315010.23
Data Scientist (EX),305374.3 to 315010.23
Developer (SE),305374.3 to 315010.23
Data Engineer (EX),305374.3 to 315010.23
Software Engineer (EX),305374.3 to 315010.23
Engineer (MI),305374.3 to 315010.23
Data Scientist (MI),305374.3 to 315010.23
Business Analyst (SE),305374.3 to 315010.23
Analytics Engineer (SE),305374.3 to 315010.23
Master Data Management (EX),305374.3 to 315010.23
Machine Learning Engineer (EX),305374.3 to 315010.23
Head of Data (EX),305374.3 to 315010.23
Software Development Engineer (SE),305374.3 to 315010.23
DevOps Engineer (SE),305374.3 to 315010.23
Platform Engineer (SE),305374.3 to 315010.23
Data Engineer (MI),305374.3 to 315010.23
Platform Engineer (MI),305374.3 to 315010.23
Data Infrastructure Engineer (SE),305374.3 to 315010.23
Machine Learning Scientist (SE),305374.3 to 315010.23
Software Developer (SE),305374.3 to 315010.23
Machine Learning Researcher (SE),305374.3 to 315010.23
Machine Learning Researcher (MI),305374.3 to 315010.23
Software Development Engineer (MI),305374.3 to 315010.23
Machine Learning Engineer (MI),305374.3 to 315010.23
Infrastructure Engineer (SE),305374.3 to 315010.23
Product Manager (MI),305374.3 to 315010.23
Product Designer (MI),305374.3 to 315010.23
Backend Engineer (SE),305374.3 to 315010.23
Machine Learning Engineer (EN),305374.3 to 315010.23
Head of AI (EX),305374.3 to 315010.23
Associate (MI),305374.3 to 315010.23
Business Intelligence (EX),305374.3 to 315010.23
System Engineer (SE),305374.3 to 315010.23
Machine Learning Engineer (SE),296033.12 to 305374.3
Software Developer (SE),296033.12 to 305374.3
AI Architect (SE),296033.12 to 305374.3
Data Scientist (SE),296033.12 to 305374.3
Product Manager (SE),296033.12 to 305374.3
Software Engineer (SE),296033.12 to 305374.3
Product Designer (SE),296033.12 to 305374.3
Data Engineer (SE),296033.12 to 305374.3
Engineer (SE),296033.12 to 305374.3
Product Manager (MI),296033.12 to 305374.3
Manager (SE),296033.12 to 305374.3
Security Researcher (MI),296033.12 to 305374.3
Business Intelligence (EX),296033.12 to 305374.3
Data Engineer (EX),296033.12 to 305374.3
Developer (SE),296033.12 to 305374.3
Solutions Architect (SE),296033.12 to 305374.3
Machine Learning Engineer (MI),296033.12 to 305374.3
Applied Scientist (SE),296033.12 to 305374.3
Data Engineer (MI),296033.12 to 305374.3
Systems Engineer (SE),296033.12 to 305374.3
Associate (MI),296033.12 to 305374.3
Data Architect (SE),296033.12 to 305374.3
Research Scientist (SE),296033.12 to 305374.3
Engineering Manager (SE),296033.12 to 305374.3
Manager (MI),296033.12 to 305374.3
Deep Learning Engineer (SE),296033.12 to 305374.3
Architect (SE),296033.12 to 305374.3
Engineering Manager (MI),296033.12 to 305374.3
Software Engineer (MI),296033.12 to 305374.3
Platform Engineer (SE),296033.12 to 305374.3
AI Specialist (SE),296033.12 to 305374.3
Site Reliability Engineer (SE),296033.12 to 305374.3
Robotics Engineer (SE),296033.12 to 305374.3
Machine Learning Software Engineer (SE),296033.12 to 305374.3
Software Development Engineer (SE),296033.12 to 305374.3
AI Engineer (SE),296033.12 to 305374.3
Solution Architect (SE),296033.12 to 305374.3
Software Engineer (EX),296033.12 to 305374.3
Research Scientist (MI),296033.12 to 305374.3
Engineer (MI),296033.12 to 305374.3
Engineer (EX),296033.12 to 305374.3
Research Engineer (MI),296033.12 to 305374.3
Research Engineer (SE),296033.12 to 305374.3
Machine Learning Researcher (MI),296033.12 to 305374.3
Machine Learning Researcher (SE),296033.12 to 305374.3
Data Infrastructure Engineer (SE),296033.12 to 305374.3
Technical Lead (SE),296033.12 to 305374.3
Research Associate (MI),296033.12 to 305374.3
Head of AI (EX),296033.12 to 305374.3
Data Management Analyst (SE),296033.12 to 305374.3
Product Manager (EN),296033.12 to 305374.3
Data Governance Lead (SE),296033.12 to 305374.3
Manager (EX),296033.12 to 305374.3
Research Analyst (EN),296033.12 to 305374.3
Data Scientist (MI),296033.12 to 305374.3
Full Stack Engineer (SE),296033.12 to 305374.3
Solutions Engineer (EX),296033.12 to 305374.3
Software Engineer (EN),296033.12 to 305374.3
Analyst (EX),296033.12 to 305374.3
Data Lead (SE),296033.12 to 305374.3
Account Executive (EX),296033.12 to 305374.3
Data Analytics Lead (SE),296033.12 to 305374.3
Analytics Engineer (SE),296033.12 to 305374.3
Data Scientist (EX),296033.12 to 305374.3
Machine Learning Infrastructure Engineer (SE),296033.12 to 305374.3
AI Engineer (MI),296033.12 to 305374.3
Full Stack Engineer (MI),296033.12 to 305374.3
Machine Learning Scientist (SE),296033.12 to 305374.3
AI Researcher (SE),296033.12 to 305374.3
Tech Lead (SE),296033.12 to 305374.3
Executive (EX),296033.12 to 305374.3
Quantitative Researcher (MI),296033.12 to 305374.3
Systems Engineer (MI),296033.12 to 305374.3
Head of Machine Learning (EX),296033.12 to 305374.3
AI Researcher (MI),296033.12 to 305374.3
Head of Data (EX),296033.12 to 305374.3
Solutions Engineer (MI),296033.12 to 305374.3
Data Governance (EX),296033.12 to 305374.3
Machine Learning Architect (SE),296033.12 to 305374.3
Machine Learning Scientist (MI),296033.12 to 305374.3
AI Developer (MI),296033.12 to 305374.3
Software Architect (SE),296033.12 to 305374.3
Machine Learning Manager (SE),296033.12 to 305374.3
Machine Learning Engineer (EX),296033.12 to 305374.3
Platform Engineer (MI),296033.12 to 305374.3
Machine Learning Platform Engineer (SE),296033.12 to 305374.3
Site Reliability Engineer (MI),296033.12 to 305374.3
ML Infrastructure Engineer (SE),296033.12 to 305374.3
Data Analyst (EN),296033.12 to 305374.3
Analyst (SE),296033.12 to 305374.3
Backend Engineer (SE),296033.12 to 305374.3
Software Development Engineer (MI),296033.12 to 305374.3
Data Analyst (SE),296033.12 to 305374.3
Product Manager (MI),286977.68 to 296033.12
Product Manager (SE),286977.68 to 296033.12
Machine Learning Engineer (SE),286977.68 to 296033.12
Applied Scientist (SE),286977.68 to 296033.12
Manager (SE),286977.68 to 296033.12
Data Engineer (SE),286977.68 to 296033.12
Data Scientist (MI),286977.68 to 296033.12
Technical Lead (SE),286977.68 to 296033.12
Research Engineer (SE),286977.68 to 296033.12
Data Scientist (SE),286977.68 to 296033.12
Machine Learning Engineer (EX),286977.68 to 296033.12
Manager (MI),286977.68 to 296033.12
Data Lead (MI),286977.68 to 296033.12
Data Architect (SE),286977.68 to 296033.12
Software Engineer (SE),286977.68 to 296033.12
Engineer (MI),286977.68 to 296033.12
Engineer (EX),286977.68 to 296033.12
Engineer (SE),286977.68 to 296033.12
Associate (MI),286977.68 to 296033.12
Research Scientist (SE),286977.68 to 296033.12
Consultant (SE),286977.68 to 296033.12
AI Architect (SE),286977.68 to 296033.12
AI Engineer (MI),286977.68 to 296033.12
Research Scientist (MI),286977.68 to 296033.12
Cloud Developer (SE),286977.68 to 296033.12
Research Engineer (MI),286977.68 to 296033.12
Data Lead (SE),286977.68 to 296033.12
Data Architect (EX),286977.68 to 296033.12
Data Engineer (MI),286977.68 to 296033.12
Data Analytics Manager (MI),286977.68 to 296033.12
Machine Learning Engineer (MI),286977.68 to 296033.12
AI Developer (MI),286977.68 to 296033.12
Software Engineer (MI),286977.68 to 296033.12
Platform Engineer (SE),286977.68 to 296033.12
Product Designer (SE),286977.68 to 296033.12
Data Governance Lead (SE),286977.68 to 296033.12
Member of Technical Staff (SE),286977.68 to 296033.12
Engineering Manager (MI),286977.68 to 296033.12
Data Infrastructure Engineer (SE),286977.68 to 296033.12
AI Engineer (SE),286977.68 to 296033.12
Principal Software Architect (SE),286977.68 to 296033.12
Data Strategy Lead (SE),286977.68 to 296033.12
Software Engineer (EN),286977.68 to 296033.12
Software Development Engineer (SE),286977.68 to 296033.12
Principal Researcher (SE),286977.68 to 296033.12
Applied Scientist (MI),286977.68 to 296033.12
Engineering Manager (SE),286977.68 to 296033.12
Infrastructure Engineer (SE),286977.68 to 296033.12
Data Engineer (EX),286977.68 to 296033.12
Architect (SE),286977.68 to 296033.12
Decision Scientist (EX),286977.68 to 296033.12
AI Product Manager (MI),286977.68 to 296033.12
QA Engineer (SE),286977.68 to 296033.12
Data Visualization Engineer (SE),286977.68 to 296033.12
Data Product Manager (SE),286977.68 to 296033.12
Analytics Engineer (MI),286977.68 to 296033.12
AI Engineer (EX),286977.68 to 296033.12
Machine Learning Scientist (SE),286977.68 to 296033.12
Data Analyst (EN),286977.68 to 296033.12
Data Analyst (SE),286977.68 to 296033.12
Data Scientist (EX),286977.68 to 296033.12
Data Specialist (EX),286977.68 to 296033.12
Data Specialist (SE),286977.68 to 296033.12
Solutions Architect (SE),286977.68 to 296033.12
Data Scientist (EN),286977.68 to 296033.12
ML Infrastructure Engineer (MI),286977.68 to 296033.12
Computer Vision Engineer (MI),286977.68 to 296033.12
Developer (MI),286977.68 to 296033.12
Data Developer (MI),286977.68 to 296033.12
Head of AI (EX),286977.68 to 296033.12
Head of Data (EX),286977.68 to 296033.12
Developer (SE),286977.68 to 296033.12
Backend Engineer (SE),286977.68 to 296033.12
Analytics Engineer (SE),286977.68 to 296033.12
Robotics Engineer (SE),286977.68 to 296033.12
Data Operations Engineer (SE),286977.68 to 296033.12
Data Governance (SE),286977.68 to 296033.12
Solution Architect (SE),286977.68 to 296033.12
Machine Learning Platform Engineer (SE),286977.68 to 296033.12
Data Product Manager (MI),286977.68 to 296033.12
Business Intelligence (EX),286977.68 to 296033.12
Data Product Owner (MI),286977.68 to 296033.12
ML Infrastructure Engineer (SE),286977.68 to 296033.12
Machine Learning Architect (SE),286977.68 to 296033.12
Data Governance Analyst (MI),286977.68 to 296033.12
Data Architect (MI),286977.68 to 296033.12
Solutions Engineer (SE),286977.68 to 296033.12
Solution Architect (SE),278199.25 to 286977.68
Site Reliability Engineer (SE),278199.25 to 286977.68
Software Development Engineer (SE),278199.25 to 286977.68
Manager (MI),278199.25 to 286977.68
Data Scientist (EX),278199.25 to 286977.68
Software Engineer (SE),278199.25 to 286977.68
Data Scientist (SE),278199.25 to 286977.68
AI Researcher (SE),278199.25 to 286977.68
Solutions Architect (SE),278199.25 to 286977.68
Data Architect (SE),278199.25 to 286977.68
Research Scientist (SE),278199.25 to 286977.68
Manager (EN),278199.25 to 286977.68
Engineer (SE),278199.25 to 286977.68
Technical Lead (SE),278199.25 to 286977.68
Product Manager (SE),278199.25 to 286977.68
Data Engineer (SE),278199.25 to 286977.68
Manager (SE),278199.25 to 286977.68
Machine Learning Engineer (SE),278199.25 to 286977.68
Data Engineer (EX),278199.25 to 286977.68
Data Engineer (MI),278199.25 to 286977.68
Software Engineer (MI),278199.25 to 286977.68
Data Analyst (SE),278199.25 to 286977.68
Applied Scientist (SE),278199.25 to 286977.68
Data Scientist (MI),278199.25 to 286977.68
AI Developer (SE),278199.25 to 286977.68
Architect (SE),278199.25 to 286977.68
Analyst (SE),278199.25 to 286977.68
MLOps Engineer (MI),278199.25 to 286977.68
Associate (MI),278199.25 to 286977.68
Research Analyst (EN),278199.25 to 286977.68
Machine Learning Engineer (MI),278199.25 to 286977.68
AI Architect (SE),278199.25 to 286977.68
Developer (SE),278199.25 to 286977.68
Quantitative Researcher (MI),278199.25 to 286977.68
Quantitative Analyst (EN),278199.25 to 286977.68
AI Engineer (SE),278199.25 to 286977.68
Machine Learning Scientist (EN),278199.25 to 286977.68
Quantitative Developer (SE),278199.25 to 286977.68
Engineering Manager (SE),278199.25 to 286977.68
AI Researcher (MI),278199.25 to 286977.68
Applied Scientist (MI),278199.25 to 286977.68
Machine Learning Scientist (MI),278199.25 to 286977.68
Research Engineer (SE),278199.25 to 286977.68
ML Infrastructure Engineer (SE),278199.25 to 286977.68
Decision Scientist (SE),278199.25 to 286977.68
Full Stack Developer (SE),278199.25 to 286977.68
Software Engineer (EX),278199.25 to 286977.68
Head of Data (EX),278199.25 to 286977.68
Data Governance (EX),278199.25 to 286977.68
Head of AI (EX),278199.25 to 286977.68
DevOps Engineer (MI),278199.25 to 286977.68
Software Developer (SE),278199.25 to 286977.68
Research Scientist (MI),278199.25 to 286977.68
AI Solution Architect (SE),278199.25 to 286977.68
Lead Engineer (SE),278199.25 to 286977.68
Machine Learning Platform Engineer (MI),278199.25 to 286977.68
Deep Learning Engineer (SE),278199.25 to 286977.68
Platform Engineer (SE),278199.25 to 286977.68
Backend Engineer (SE),278199.25 to 286977.68
Engineering Manager (MI),278199.25 to 286977.68
Data Visualization Engineer (SE),278199.25 to 286977.68
Associate (EX),278199.25 to 286977.68
Software Architect (SE),278199.25 to 286977.68
Data Analytics Manager (SE),278199.25 to 286977.68
Product Manager (MI),278199.25 to 286977.68
AI Product Manager (MI),278199.25 to 286977.68
Data Modeler (SE),278199.25 to 286977.68
Robotics Software Engineer (SE),278199.25 to 286977.68
Systems Engineer (SE),278199.25 to 286977.68
Analytics Engineer (EX),278199.25 to 286977.68
Research Engineer (MI),278199.25 to 286977.68
Applied Scientist (EN),278199.25 to 286977.68
Machine Learning Engineer (EX),278199.25 to 286977.68
Consultant (SE),278199.25 to 286977.68
QA Engineer (MI),278199.25 to 286977.68
Computer Vision Engineer (SE),278199.25 to 286977.68
Machine Learning Model Engineer (SE),278199.25 to 286977.68
Engineer (MI),278199.25 to 286977.68
Machine Learning Model Engineer (MI),278199.25 to 286977.68
Solutions Engineer (SE),278199.25 to 286977.68
Site Reliability Engineer (MI),278199.25 to 286977.68
Analyst (MI),278199.25 to 286977.68
Infrastructure Engineer (SE),278199.25 to 286977.68
Research Engineer (EN),278199.25 to 286977.68
Frontend Engineer (SE),278199.25 to 286977.68
Security Engineer (SE),278199.25 to 286977.68
Security Engineer (MI),278199.25 to 286977.68
Prompt Engineer (SE),278199.25 to 286977.68
Machine Learning Scientist (SE),278199.25 to 286977.68
Frontend Engineer (MI),278199.25 to 286977.68
Software Engineer (EN),278199.25 to 286977.68
Engineer (EX),278199.25 to 286977.68
Account Executive (EX),278199.25 to 286977.68
Research Scientist (EN),278199.25 to 286977.68
Member of Technical Staff (SE),278199.25 to 286977.68
Product Owner (SE),278199.25 to 286977.68
Analytics Engineer (SE),278199.25 to 286977.68
AI Scientist (SE),278199.25 to 286977.68
Data Strategy Lead (SE),269689.33 to 278199.25
Architect (SE),269689.33 to 278199.25
Data Analyst (SE),269689.33 to 278199.25
Engineer (EX),269689.33 to 278199.25
Software Engineer (MI),269689.33 to 278199.25
Product Manager (SE),269689.33 to 278199.25
Engineer (SE),269689.33 to 278199.25
Manager (SE),269689.33 to 278199.25
Solutions Engineer (SE),269689.33 to 278199.25
Manager (MI),269689.33 to 278199.25
Machine Learning Engineer (SE),269689.33 to 278199.25
Machine Learning Manager (MI),269689.33 to 278199.25
Engineering Manager (MI),269689.33 to 278199.25
Platform Engineer (SE),269689.33 to 278199.25
Systems Engineer (MI),269689.33 to 278199.25
Software Engineer (SE),269689.33 to 278199.25
